"Afghanistan","{""emoji"":{""char"":""🇦🇫""}}"
"Kyrgyzstan","{""emoji"":{""char"":""🇰🇬""}}"
"Maldives","{""emoji"":{""char"":""🇲🇻""}}"
"Mexico","{""emoji"":{""char"":""🇲🇽""}}"
"South Korea","{""emoji"":{""char"":""🇰🇷""}}"
"Saint Kitts and Nevis","{""emoji"":{""char"":""🇰🇳""}}"
"Laos","{""emoji"":{""char"":""🇱🇦""}}"
"Marshall Islands","{""emoji"":{""char"":""🇲🇭""}}"
"Liberia","{""emoji"":{""char"":""🇱🇷""}}"
"Libya","{""emoji"":{""char"":""🇱🇾""}}"
"Liechtenstein","{""emoji"":{""char"":""🇱🇮""}}"
"Malawi","{""emoji"":{""char"":""🇲🇼""}}"
"Malaysia","{""emoji"":{""char"":""🇲🇾""}}"
"Namibia","{""emoji"":{""char"":""🇳🇦""}}"
"Nicaragua","{""emoji"":{""char"":""🇳🇮""}}"
"Niger","{""emoji"":{""char"":""🇳🇪""}}"
"Nigeria","{""emoji"":{""char"":""🇳🇬""}}"
"Niue","{""emoji"":{""char"":""🇳🇺""}}"
"Saint Lucia","{""emoji"":{""char"":""🇱🇨""}}"
"Sri Lanka","{""emoji"":{""char"":""🇱🇰""}}"
"Lithuania","{""emoji"":{""char"":""🇱🇹""}}"
"Nauru","{""emoji"":{""char"":""🇳🇷""}}"
"Nepal","{""emoji"":{""char"":""🇳🇵""}}"
"Netherlands","{""emoji"":{""char"":""🇳🇱""}}"
"New Zealand","{""emoji"":{""char"":""🇳🇿""}}"
"Norway","{""emoji"":{""char"":""🇳🇴""}}"
"Oman","{""emoji"":{""char"":""🇴🇲""}}"
"Pakistan","{""emoji"":{""char"":""🇵🇰""}}"
"Panama","{""emoji"":{""char"":""🇵🇦""}}"
"Peru","{""emoji"":{""char"":""🇵🇪""}}"
"Philippines","{""emoji"":{""char"":""🇵🇭""}}"
"Mali","{""emoji"":{""char"":""🇲🇱""}}"
"Myanmar","{""emoji"":{""char"":""🇲🇲""}}"
"Mongolia","{""emoji"":{""char"":""🇲🇳""}}"
"Mozambique","{""emoji"":{""char"":""🇲🇿""}}"
"Romania","{""emoji"":{""char"":""🇷🇴""}}"
"Russia","{""emoji"":{""char"":""🇷🇺""}}"
"Sao Tome and Principe","{""emoji"":{""char"":""🇸🇹""}}"
"Slovakia","{""emoji"":{""char"":""🇸🇰""}}"
"Slovenia","{""emoji"":{""char"":""🇸🇮""}}"
"Suriname","{""emoji"":{""char"":""🇸🇷""}}"
"Sweden","{""emoji"":{""char"":""🇸🇪""}}"
"Saudi Arabia","{""emoji"":{""char"":""🇸🇦""}}"
"Senegal","{""emoji"":{""char"":""🇸🇳""}}"
"Sierra Leone","{""emoji"":{""char"":""🇸🇱""}}"
"Singapore","{""emoji"":{""char"":""🇸🇬""}}"
"Solomon Islands","{""emoji"":{""char"":""🇸🇧""}}"
"South Sudan","{""emoji"":{""char"":""🇸🇸""}}"
"Sudan","{""emoji"":{""char"":""🇸🇩""}}"
"Turkmenistan","{""emoji"":{""char"":""🇹🇲""}}"
"San Marino","{""emoji"":{""char"":""🇸🇲""}}"
"Serbia","{""emoji"":{""char"":""🇷🇸""}}"
"Somalia","{""emoji"":{""char"":""🇸🇴""}}"
"Chad","{""emoji"":{""char"":""🇹🇩""}}"
"Syria","{""emoji"":{""char"":""🇸🇾""}}"
"Thailand","{""emoji"":{""char"":""🇹🇭""}}"
"Tonga","{""emoji"":{""char"":""🇹🇴""}}"
"Vatican City","{""emoji"":{""char"":""🇻🇦""}}"
"Trinidad and Tobago","{""emoji"":{""char"":""🇹🇹""}}"
"Tunisia","{""emoji"":{""char"":""🇹🇳""}}"
"Turkey","{""emoji"":{""char"":""🇹🇷""}}"
"Tuvalu","{""emoji"":{""char"":""🇹🇻""}}"
"Uganda","{""emoji"":{""char"":""🇺🇬""}}"
"Ukraine","{""emoji"":{""char"":""🇺🇦""}}"
"Tanzania","{""emoji"":{""char"":""🇹🇿""}}"
"United States of America","{""emoji"":{""char"":""🇺🇸""}}"
"Uruguay","{""emoji"":{""char"":""🇺🇾""}}"
"Uzbekistan","{""emoji"":{""char"":""🇺🇿""}}"
"Vanuatu","{""emoji"":{""char"":""🇻🇺""}}"
"Venezuela","{""emoji"":{""char"":""🇻🇪""}}"
"Vietnam","{""emoji"":{""char"":""🇻🇳""}}"
"Bhutan","{""emoji"":{""char"":""🇧🇹""}}"
"Bosnia and Herzegovina","{""emoji"":{""char"":""🇧🇦""}}"
"South Africa","{""emoji"":{""char"":""🇿🇦""}}"
"Yemen","{""emoji"":{""char"":""🇾🇪""}}"
"Zambia","{""emoji"":{""char"":""🇿🇲""}}"
"Zimbabwe","{""emoji"":{""char"":""🇿🇼""}}"
"Armenia","{""emoji"":{""char"":""🇦🇲""}}"
"Belize","{""emoji"":{""char"":""🇧🇿""}}"
"Benin","{""emoji"":{""char"":""🇧🇯""}}"
"Brunei","{""emoji"":{""char"":""🇧🇳""}}"
"Bulgaria","{""emoji"":{""char"":""🇧🇬""}}"
"Burkina Faso","{""emoji"":{""char"":""🇧🇫""}}"
"Burundi","{""emoji"":{""char"":""🇧🇮""}}"
"Cabo Verde","{""emoji"":{""char"":""🇨🇻""}}"
"Comoros","{""emoji"":{""char"":""🇰🇲""}}"
"Mauritius","{""emoji"":{""char"":""🇲🇺""}}"
"Cook Islands","{""emoji"":{""char"":""🇨🇰""}}"
"Cuba","{""emoji"":{""char"":""🇨🇺""}}"
"Cyprus","{""emoji"":{""char"":""🇨🇾""}}"
"Denmark","{""emoji"":{""char"":""🇩🇰""}}"
"Djibouti","{""emoji"":{""char"":""🇩🇯""}}"
"Dominica","{""emoji"":{""char"":""🇩🇲""}}"
"Qatar","{""emoji"":{""char"":""🇶🇦""}}"
"Dominican Republic","{""emoji"":{""char"":""🇩🇴""}}"
"El Salvador","{""emoji"":{""char"":""🇸🇻""}}"
"Equatorial Guinea","{""emoji"":{""char"":""🇬🇶""}}"
"Estonia","{""emoji"":{""char"":""🇪🇪""}}"
"Ethiopia","{""emoji"":{""char"":""🇪🇹""}}"
"Fiji","{""emoji"":{""char"":""🇫🇯""}}"
"Finland","{""emoji"":{""char"":""🇫🇮""}}"
"France","{""emoji"":{""char"":""🇫🇷""}}"
"Samoa","{""emoji"":{""char"":""🇼🇸""}}"
"Gambia","{""emoji"":{""char"":""🇬🇲""}}"
"Germany","{""emoji"":{""char"":""🇩🇪""}}"
"Ghana","{""emoji"":{""char"":""🇬🇭""}}"
"Greece","{""emoji"":{""char"":""🇬🇷""}}"
"Grenada","{""emoji"":{""char"":""🇬🇩""}}"
"Guatemala","{""emoji"":{""char"":""🇬🇹""}}"
"Haiti","{""emoji"":{""char"":""🇭🇹""}}"
"Israel","{""emoji"":{""char"":""🇮🇱""}}"
"Jamaica","{""emoji"":{""char"":""🇯🇲""}}"
"Palestine","{""emoji"":{""char"":""🇵🇸""}}"
"Tajikistan","{""emoji"":{""char"":""🇹🇯""}}"
"Jordan","{""emoji"":{""char"":""🇯🇴""}}"
"Kuwait","{""emoji"":{""char"":""🇰🇼""}}"
"Lebanon","{""emoji"":{""char"":""🇱🇧""}}"
"Lesotho","{""emoji"":{""char"":""🇱🇸""}}"
"Malta","{""emoji"":{""char"":""🇲🇹""}}"
"Mauritania","{""emoji"":{""char"":""🇲🇷""}}"
"Montenegro","{""emoji"":{""char"":""🇲🇪""}}"
"Rwanda","{""emoji"":{""char"":""🇷🇼""}}"
"Saint Vincent and the Grenadines","{""emoji"":{""char"":""🇻🇨""}}"
"Seychelles","{""emoji"":{""char"":""🇸🇨""}}"
"North Macedonia","{""emoji"":{""char"":""🇲🇰""}}"
"Timor-Leste","{""emoji"":{""char"":""🇹🇱""}}"
"Togo","{""emoji"":{""char"":""🇹🇬""}}"
